blue,red,actual_winner
MAD,VIT,MAD
RGE,SK,RGE
XL,G2,G2
AST,MSF,MSF
FNC,BDS,FNC
RGE,MSF,RGE
XL,BDS,BDS
SK,MAD,SK
G2,AST,G2
VIT,FNC,FNC
BDS,MSF,MSF
XL,VIT,XL
RGE,AST,RGE
SK,FNC,FNC
MAD,G2,MAD
MSF,XL,MSF
AST,FNC,FNC
G2,SK,G2
BDS,VIT,VIT
MAD,RGE,RGE
SK,XL,XL
MAD,AST,MAD
BDS,RGE,RGE
FNC,MSF,FNC
G2,VIT,VIT
BDS,AST,BDS
XL,MAD,MAD
VIT,SK,VIT
RGE,FNC,RGE
G2,MSF,G2
BDS,SK,BDS
AST,XL,XL
MAD,MSF,MSF
RGE,VIT,RGE
FNC,G2,G2
AST,SK,SK
RGE,XL,RGE
VIT,MSF,VIT
G2,BDS,G2
MAD,FNC,FNC
MSF,SK,MSF
MAD,BDS,MAD
AST,VIT,VIT
XL,FNC,XL
G2,RGE,RGE
MSF,BDS,MSF
AST,RGE,AST
XL,VIT,XL
FNC,SK,FNC
MAD,G2,G2
BDS,XL,XL
MAD,SK,SK
RGE,MSF,MSF
AST,G2,G2
FNC,VIT,FNC
FNC,AST,AST
MSF,XL,MSF
BDS,VIT,VIT
SK,G2,SK
RGE,MAD,RGE
XL,AST,XL
SK,BDS,SK
MAD,MSF,MSF
VIT,RGE,RGE
FNC,G2,FNC
XL,MAD,XL
AST,BDS,BDS
SK,VIT,VIT
FNC,RGE,FNC
G2,MSF,MSF
MSF,VIT,VIT
SK,AST,AST
XL,RGE,RGE
G2,BDS,G2
FNC,MAD,FNC
SK,RGE,SK
AST,MSF,MSF
VIT,MAD,MAD
G2,XL,G2
BDS,FNC,FNC
XL,SK,XL
AST,MAD,MAD
RGE,BDS,RGE
MSF,FNC,MSF
VIT,G2,G2
SK,MSF,SK
VIT,AST,VIT
MAD,BDS,MAD
FNC,XL,FNC
RGE,G2,RGE
